[0]: Name - WW3WorldSetting, Address - 0x76ba4720
[1]: Name - LightmassImportanceVolume, Address - 0x33bf6600
[2]: Name - KillZVolume, Address - 0x33bfba00
[3]: Name - BlockingVolume, Address - 0x33bf9700
[4]: Name - BlockingVolume2, Address - 0x16bf8900
[5]: Name - BlockingVolume3, Address - 0x16bf9000
[6]: Name - BlockingVolume4, Address - 0x16bfa500
[7]: Name - BlockingVolume6, Address - 0x16bff900
[8]: Name - BlockingVolume7, Address - 0x16bfac00
[9]: Name - BlockingVolume5, Address - 0x16bf7b00
[a]: Name - WW3SatelliteMapContainer1, Address - 0x73bf0e80
[b]: Name - BlockingVolume9, Address - 0x2981fc80
[c]: Name - NavMeshBoundsVolume, Address - 0x33bf5480
[d]: Name - NavLinkProxy1, Address - 0x33bf6d00
[e]: Name - BlockingVolume46, Address - 0x16bf9380
[f]: Name - BlockingVolume47, Address - 0x16bf7780
[10]: Name - BlockingVolume8, Address - 0x74637400
[11]: Name - WW3DynamicAudioBankManager, Address - 0x73bfa500
[12]: Name - PrecomputedVisibilityVolume, Address - 0x33bf4a00
[13]: Name - BlockingVolume11, Address - 0x74156980
[14]: Name - mi_graffiti_01, Address - 0x33bfbd80
[15]: Name - mi_graffiti_01, Address - 0x33bf0400
[16]: Name - mi_graffiti_01, Address - 0x33bf8580
[17]: Name - bp_Vault, Address - 0x66cc3180
[18]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bfac00
[19]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bfb300
[1a]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bfa880
[1b]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bfa500
[1c]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bff580
[1d]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bff900
[1e]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bf2700
[1f]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bfaf80
[20]: Name - sm_ConcreteBags_01_01, Address - 0x74539e00
[21]: Name - sm_ConcreteBags_01_01, Address - 0x74538c80
[22]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bf9000
[23]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c14fc80
[24]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c14f900
[25]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c14ee80
[26]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c14e780
[27]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c14dd00
[28]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c14e080
[29]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c14eb00
[2a]: Name - sm_BateryLamp_01, Address - 0x7453e400
[2b]: Name - SpotLight12, Address - 0x33bf4680
[2c]: Name - sm_BateryLamp_01, Address - 0x74533880
[2d]: Name - SpotLight13, Address - 0x33bf5f00
[2e]: Name - mi_graffiti_01, Address - 0x33bf2a80
[2f]: Name - mi_graffiti_01, Address - 0x33bfc480
[30]: Name - sm_concretebox_01, Address - 0x73bf5480
[31]: Name - Movement_BlockingVolume1, Address - 0x33bf6980
[32]: Name - Movement_BlockingVolume2, Address - 0x33bf8900
[33]: Name - BP_RestoreBox_01, Address - 0x296b44f0
[34]: Name - sm_anti_riot_barrier_black_01, Address - 0x7c145100
[35]: Name - sm_anti_riot_barrier_black_01, Address - 0x74539a80
[36]: Name - sm_anti_riot_barrier_black_01, Address - 0x7453c800
[37]: Name - sm_anti_riot_barrier_black_01, Address - 0x7453cb80
[38]: Name - sm_anti_riot_barrier_black_01, Address - 0x7453e780
[39]: Name - sm_anti_riot_barrier_black_01, Address - 0x7453d280
[3a]: Name - sm_anti_riot_barrier_black_01, Address - 0x33bf0780
[3b]: Name - sm_anti_riot_barrier_black_01, Address - 0x7453d980
